name,accuracy,recall,specificity,precision,kappa,auc,accuracy_sd,recall_sd,specificity_sd,precision_sd,kappa_sd,auc_sd,threshold_mean,fn_total,fp_total,passes,rows_key,n_rows,family,k,selection,delta_kappa_vs_baseline,delta_kappa_se,delta_accuracy_vs_baseline,delta_accuracy_se
RFE in-fold -> 15,0.7666666666666667,0.8685714285714287,0.624,0.7834069264069266,0.5033305438860218,0.8514285714285714,0.10485881160098263,0.14238015607358145,0.233238075793812,0.12240105372225836,0.2280971469243641,0.14754222271266354,0.5,23,47,accuracy✗ recall✓ kappa✗,full,60,rfe,15.0,in-fold RFE,-0.05647927892639765,0.02721739215301568,-0.026666666666666665,0.012472191289246471
in-fold top-14 (RF importance),0.7666666666666666,0.8742857142857143,0.616,0.7795396825396825,0.5032441732673931,0.854857142857143,0.12028130608117203,0.16141382149217423,0.23748684174075835,0.12895762471460637,0.2560724203504998,0.14031548515452477,0.5,22,48,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,14.0,in-fold RF importance,-0.05656564954502631,0.03137352747446337,-0.02666666666666666,0.014207457613938244
all 23 features (no uv_exclusive_dot_frac),0.7666666666666666,0.8742857142857141,0.616,0.7787878787878788,0.5029227262134982,0.8537142857142858,0.11283386673105501,0.1505093393264677,0.2303620339089466,0.12187754864788777,0.24232403430940722,0.13101383839251537,0.5,22,48,accuracy✗ recall✓ kappa✗,full,60,uv,23.0,"none, uv removed",-0.056887096598921195,0.027400180411162368,-0.02666666666666666,0.012472191289246473
whole-data top-20 (LEAKY),0.7666666666666667,0.8742857142857143,0.616,0.7815396825396825,0.5012521946577675,0.8554285714285714,0.10206207261596575,0.13248026422136722,0.23748684174075835,0.11909479444471116,0.2271420535218231,0.13722963524368798,0.5,22,48,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,20.0,ranked on all 60 heads,-0.058557628154652,0.03111822070365163,-0.026666666666666665,0.014207457613938249
in-fold top-10 (RF importance),0.7633333333333333,0.8514285714285715,0.6400000000000001,0.7851212121212121,0.4995343765635387,0.8565714285714288,0.1195090264683275,0.15141060091032998,0.23804761428476168,0.12401086623851287,0.2571742357178321,0.13643168782279608,0.5,26,45,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,10.0,in-fold RF importance,-0.06027544624888076,0.02621383705060636,-0.029999999999999995,0.012619796324000607
RFE in-fold -> 8,0.7633333333333333,0.8514285714285714,0.64,0.7887777777777778,0.49948205239381704,0.848,0.12190615698606494,0.15692625765032459,0.24494897427831783,0.13152814143910724,0.26130365254001325,0.14129382710589763,0.5,26,45,accuracy✗ recall✓ kappa✗,full,60,rfe,8.0,in-fold RFE,-0.06032777041860231,0.03848520139837199,-0.029999999999999995,0.01726696696435561
in-fold top-18 (RF importance),0.7633333333333333,0.8685714285714287,0.616,0.7788831168831168,0.4992674717672221,0.8605714285714285,0.11706281947614154,0.18862192686036533,0.22300971578236978,0.11859246855499253,0.2414999226111144,0.13236981796271763,0.5,23,48,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,18.0,in-fold RF importance,-0.060542351045197326,0.026060393132538235,-0.029999999999999992,0.012619796324000607
RFE in-fold -> 10,0.7633333333333333,0.8628571428571429,0.6240000000000001,0.7796507936507937,0.4976481587332981,0.8577142857142858,0.1288302069478359,0.15692625765032459,0.24027761721253466,0.1364068912814967,0.27222372136234374,0.14951622668063935,0.5,24,47,accuracy✗ recall✓ kappa✗,full,60,rfe,10.0,in-fold RFE,-0.062161664079121354,0.03242712447522956,-0.029999999999999995,0.015122952876462445
L1 in-fold (C=0.05),0.7633333333333333,0.88,0.6000000000000001,0.7716608946608946,0.49424167197362046,0.8360000000000001,0.09824855102126331,0.14093951035189278,0.21602468994692867,0.11203712984138732,0.21390789660426046,0.14166886752992305,0.5,21,50,accuracy✗ recall✓ kappa✗,full,60,l1,,in-fold L1 logistic,-0.06556815083879897,0.025707530171851022,-0.029999999999999995,0.011666666666666669
all 24 features,0.7633333333333333,0.88,0.6000000000000001,0.7716608946608946,0.49424167197362046,0.8360000000000001,0.09824855102126331,0.14093951035189278,0.21602468994692867,0.11203712984138732,0.21390789660426046,0.14166886752992305,0.5,21,50,accuracy✗ recall✓ kappa✗,full,60,reference,24.0,none,-0.06556815083879897,0.025707530171851022,-0.029999999999999995,0.011666666666666669
in-fold top-21 (RF importance),0.7599999999999999,0.8571428571428571,0.6240000000000001,0.7781688311688312,0.49307683887070686,0.8508571428571428,0.1136515141415488,0.1700340102034012,0.21847959477565249,0.1180961137954193,0.2379588734722136,0.13727672038325975,0.5,25,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,21.0,in-fold RF importance,-0.06673298394171258,0.02308647404935383,-0.03333333333333333,0.01075828707279838
in-fold top-20 (RF importance),0.76,0.8571428571428572,0.6240000000000001,0.7783174603174604,0.49238735388116195,0.8508571428571429,0.11616957592403601,0.1649572197684645,0.22597935008904388,0.12070353407622317,0.24632429137778936,0.14381110059053587,0.5,25,47,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,20.0,in-fold RF importance,-0.06742246893125747,0.026883427717128282,-0.03333333333333332,0.012729376930432893
"in-fold top-10, no-uv pool",0.76,0.8571428571428572,0.6240000000000001,0.7814227994227996,0.4917669330902129,0.8560000000000001,0.11107638346184559,0.1649572197684645,0.233238075793812,0.12130249140354354,0.236657330238538,0.14667053179817408,0.5,25,47,accuracy✗ recall✓ kappa✗,full,60,uv,10.0,"in-fold RF importance, uv excluded",-0.0680428897222066,0.031293080103231424,-0.03333333333333333,0.014433756729740645
whole-data top-24 (LEAKY),0.76,0.8628571428571429,0.616,0.777994227994228,0.4909292707525505,0.8525714285714285,0.11107638346184559,0.1674132936309233,0.2303620339089466,0.12043715087762435,0.23545535598009115,0.13052223726924356,0.5,24,48,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,24.0,ranked on all 60 heads,-0.06888055205986893,0.029553429931199065,-0.03333333333333333,0.013608276348795436
in-fold top-09 (RF importance),0.7566666666666666,0.84,0.6400000000000001,0.789010101010101,0.48577692066211997,0.8451428571428572,0.11765454769192984,0.1614138214921742,0.2581988897471611,0.13117813314158644,0.25400290347661303,0.14484803202305646,0.5,28,45,accuracy✗ recall✓ kappa✗,full,60,k-sweep-infold,9.0,in-fold RF importance,-0.0740329021502995,0.034255240383238815,-0.03666666666666667,0.01601503922822175
whole-data top-23 (LEAKY),0.7566666666666667,0.8628571428571428,0.6080000000000001,0.771978354978355,0.482568639124117,0.8388571428571429,0.1224744871391589,0.15692625765032459,0.2343786110832926,0.12793117871140444,0.2608997427857126,0.14629901353236877,0.5,24,49,accuracy✗ recall✓ kappa✗,full,60,k-sweep-leaky,23.0,ranked on all 60 heads,-0.07724118368830242,0.02959101151784856,-0.03666666666666667,0.013676148472323523
